ticket_id,timestamp,date,week,month,vertical,contact_reason,channel,market,resolution,handle_time_min,csat_score,first_contact_resolution,repeat_contact
CRM-004607,2025-01-01 07:12:23,2025-01-01,1,2025-01,Ride,Lost item,Social Media,UAE,Auto-resolved,0.2,2,1,0
CRM-003523,2025-01-01 09:50:09,2025-01-01,1,2025-01,Ride,Promo code not applied,In-App Chat,UAE,Escalated,7.6,3,0,0
CRM-003249,2025-01-01 10:01:05,2025-01-01,1,2025-01,Ride,Safety concern,In-App Chat,Jordan,Resolved - Explanation,4.4,1,1,1
CRM-001247,2025-01-01 10:48:27,2025-01-01,1,2025-01,Ride,Driver no-show,In-App Chat,Pakistan,Resolved - Coupon,2.4,3,1,1
CRM-002354,2025-01-01 11:07:47,2025-01-01,1,2025-01,Pay,Failed top-up,In-App Chat,Pakistan,Resolved - Refund,5.4,5,1,0
CRM-004583,2025-01-01 11:18:48,2025-01-01,1,2025-01,Food,Overcharged,Social Media,Pakistan,Escalated,33.8,3,0,0
CRM-001186,2025-01-01 11:38:36,2025-01-01,1,2025-01,Ride,Promo code not applied,Phone,KSA,Resolved - Explanation,8.6,5,1,0
CRM-000429,2025-01-01 12:28:05,2025-01-01,1,2025-01,Food,Overcharged,In-App Chat,KSA,Escalated,11.5,3,0,0
CRM-004058,2025-01-01 12:46:50,2025-01-01,1,2025-01,Ride,App crash during ride,In-App Chat,UAE,Resolved - Refund,3.5,5,1,0
CRM-000632,2025-01-01 13:31:23,2025-01-01,1,2025-01,Pay,Cashback not credited,Phone,Pakistan,Resolved - Explanation,11.3,4,1,0
CRM-001574,2025-01-01 13:32:38,2025-01-01,1,2025-01,Quik,Order cancelled by store,In-App Chat,Egypt,Resolved - Explanation,6.7,1,1,0
CRM-002154,2025-01-01 13:48:30,2025-01-01,1,2025-01,Quik,Wrong address delivery,Social Media,Jordan,Auto-resolved,1.3,4,1,0
CRM-002188,2025-01-01 14:29:03,2025-01-01,1,2025-01,Ride,Safety concern,In-App Chat,Jordan,Pending - Follow-up,5.4,4,0,0
CRM-001385,2025-01-01 15:31:59,2025-01-01,1,2025-01,Food,Wrong items delivered,In-App Chat,UAE,Resolved - Coupon,2.6,4,1,0
CRM-002530,2025-01-01 16:06:37,2025-01-01,1,2025-01,Food,Wrong items delivered,In-App Chat,KSA,Auto-resolved,1.4,3,1,0
CRM-001218,2025-01-01 18:40:50,2025-01-01,1,2025-01,Food,Wrong items delivered,Email,UAE,Resolved - Explanation,16.5,4,1,0
CRM-002947,2025-01-01 19:11:58,2025-01-01,1,2025-01,Ride,Cancellation fee dispute,Email,UAE,Resolved - Coupon,23.3,3,1,0
CRM-002221,2025-01-01 19:22:13,2025-01-01,1,2025-01,Quik,Missing items,Email,Jordan,Auto-resolved,0.7,5,1,0
CRM-000026,2025-01-01 19:57:09,2025-01-01,1,2025-01,Food,Cold food,Phone,UAE,Resolved - Coupon,7.8,1,1,1
CRM-004861,2025-01-01 20:01:17,2025-01-01,1,2025-01,Ride,Lost item,Social Media,UAE,Resolved - Coupon,12.6,5,1,0
CRM-002342,2025-01-01 20:29:06,2025-01-01,1,2025-01,Food,Refund not processed,In-App Chat,KSA,Auto-resolved,1.1,5,1,0
CRM-002458,2025-01-01 20:33:38,2025-01-01,1,2025-01,Quik,Damaged packaging,In-App Chat,Pakistan,Pending - Follow-up,7.1,4,0,0
CRM-004843,2025-01-01 21:30:59,2025-01-01,1,2025-01,Food,Late delivery,In-App Chat,UAE,Resolved - Explanation,4.5,1,1,0
CRM-002287,2025-01-01 21:40:58,2025-01-01,1,2025-01,Quik,Damaged packaging,Phone,UAE,Resolved - Explanation,5.6,5,1,0
CRM-001865,2025-01-01 22:40:54,2025-01-01,1,2025-01,Quik,Late delivery,Email,UAE,Auto-resolved,1.1,3,1,0
CRM-001710,2025-01-02 01:41:16,2025-01-02,1,2025-01,Ride,Lost item,Phone,Pakistan,Resolved - Explanation,7.2,5,1,0
CRM-001644,2025-01-02 04:06:39,2025-01-02,1,2025-01,Food,Missing items,In-App Chat,KSA,Resolved - Refund,2.7,4,1,0
CRM-001530,2025-01-02 06:49:24,2025-01-02,1,2025-01,Food,Restaurant closed,In-App Chat,Pakistan,Resolved - Refund,5.1,2,1,0
CRM-004359,2025-01-02 08:34:37,2025-01-02,1,2025-01,Quik,Substituted item not accepted,In-App Chat,Jordan,Auto-resolved,1.5,3,1,0
CRM-000015,2025-01-02 08:59:56,2025-01-02,1,2025-01,Ride,Driver no-show,In-App Chat,Egypt,Resolved - Refund,3.5,4,1,0
CRM-002848,2025-01-02 09:12:57,2025-01-02,1,2025-01,Food,Order never arrived,Email,KSA,Resolved - Explanation,16.3,4,1,0
CRM-000863,2025-01-02 09:13:36,2025-01-02,1,2025-01,Food,Late delivery,Phone,Jordan,Resolved - Coupon,12.2,4,1,0
CRM-004425,2025-01-02 09:45:10,2025-01-02,1,2025-01,Ride,App crash during ride,Email,UAE,Pending - Follow-up,25.0,4,0,0
CRM-004248,2025-01-02 09:57:15,2025-01-02,1,2025-01,Ride,Route deviation,In-App Chat,KSA,Resolved - Explanation,4.5,3,1,0
CRM-004618,2025-01-02 10:11:22,2025-01-02,1,2025-01,Ride,App crash during ride,Phone,Pakistan,Resolved - Refund,11.7,4,1,0
CRM-000364,2025-01-02 10:11:48,2025-01-02,1,2025-01,Quik,Damaged packaging,Social Media,Jordan,Resolved - Explanation,16.8,5,1,0
CRM-003366,2025-01-02 11:30:09,2025-01-02,1,2025-01,Food,Late delivery,Phone,UAE,Resolved - Refund,8.7,5,1,0
CRM-004767,2025-01-02 11:58:33,2025-01-02,1,2025-01,Quik,Wrong address delivery,Phone,UAE,Escalated,28.0,4,0,0
CRM-001766,2025-01-02 11:59:43,2025-01-02,1,2025-01,Quik,Late delivery,Social Media,Egypt,Auto-resolved,0.8,1,1,0
CRM-004870,2025-01-02 13:13:59,2025-01-02,1,2025-01,Pay,Transfer failed,In-App Chat,Pakistan,Escalated,5.5,2,0,0
CRM-001374,2025-01-02 14:49:40,2025-01-02,1,2025-01,Ride,Lost item,In-App Chat,UAE,Auto-resolved,0.6,5,1,0
CRM-001819,2025-01-02 16:20:54,2025-01-02,1,2025-01,Food,Overcharged,Phone,UAE,Auto-resolved,0.4,2,1,0
CRM-002659,2025-01-02 16:57:08,2025-01-02,1,2025-01,Quik,Order cancelled by store,In-App Chat,KSA,Resolved - Refund,6.0,3,1,0
CRM-002032,2025-01-02 17:00:40,2025-01-02,1,2025-01,Quik,Late delivery,Email,Egypt,Auto-resolved,1.4,5,1,0
CRM-002533,2025-01-02 17:35:53,2025-01-02,1,2025-01,Ride,Wrong fare charged,Phone,KSA,Auto-resolved,1.4,3,1,0
CRM-002872,2025-01-02 17:55:08,2025-01-02,1,2025-01,Ride,Promo code not applied,Email,Pakistan,Auto-resolved,1.2,4,1,0
CRM-002350,2025-01-02 18:52:59,2025-01-02,1,2025-01,Quik,Late delivery,Phone,Egypt,Resolved - Coupon,6.8,5,1,0
CRM-002420,2025-01-02 19:12:36,2025-01-02,1,2025-01,Food,Refund not processed,Email,Pakistan,Pending - Follow-up,12.9,4,0,0
CRM-002857,2025-01-02 19:17:07,2025-01-02,1,2025-01,Ride,Lost item,Social Media,UAE,Resolved - Explanation,17.1,4,1,0
CRM-001482,2025-01-02 19:55:11,2025-01-02,1,2025-01,Ride,Cancellation fee dispute,Social Media,Egypt,Escalated,38.0,5,0,0
CRM-003800,2025-01-02 20:24:30,2025-01-02,1,2025-01,Quik,Damaged packaging,Phone,UAE,Escalated,19.3,3,0,0
CRM-002012,2025-01-02 20:31:46,2025-01-02,1,2025-01,Ride,Safety concern,In-App Chat,KSA,Escalated,16.7,4,0,1
CRM-004289,2025-01-02 20:50:41,2025-01-02,1,2025-01,Food,Wrong items delivered,In-App Chat,Pakistan,Resolved - Refund,4.4,5,1,0
CRM-001789,2025-01-02 21:15:56,2025-01-02,1,2025-01,Food,Overcharged,Phone,UAE,Resolved - Refund,5.9,4,1,0
CRM-002873,2025-01-03 04:17:57,2025-01-03,1,2025-01,Ride,Promo code not applied,In-App Chat,Egypt,Auto-resolved,1.3,3,1,1
CRM-000742,2025-01-03 07:16:44,2025-01-03,1,2025-01,Food,Overcharged,In-App Chat,UAE,Resolved - Coupon,5.9,3,1,0
CRM-004300,2025-01-03 07:44:00,2025-01-03,1,2025-01,Quik,Expired product delivered,In-App Chat,UAE,Escalated,13.8,3,0,0
CRM-004538,2025-01-03 08:10:07,2025-01-03,1,2025-01,Food,Refund not processed,Email,Pakistan,Resolved - Explanation,20.4,3,1,0
CRM-004640,2025-01-03 08:24:03,2025-01-03,1,2025-01,Quik,Wrong address delivery,In-App Chat,KSA,Resolved - Refund,6.0,3,1,0
CRM-001774,2025-01-03 08:33:27,2025-01-03,1,2025-01,Ride,Lost item,Email,KSA,Escalated,32.5,1,0,0
CRM-000645,2025-01-03 09:18:11,2025-01-03,1,2025-01,Ride,Driver no-show,Phone,UAE,Resolved - Coupon,11.9,3,1,0
CRM-003744,2025-01-03 10:04:52,2025-01-03,1,2025-01,Food,Overcharged,Social Media,UAE,Resolved - Explanation,14.6,4,1,1
CRM-000304,2025-01-03 10:32:14,2025-01-03,1,2025-01,Food,Cold food,Phone,KSA,Resolved - Refund,10.5,3,1,0
CRM-004650,2025-01-03 10:34:19,2025-01-03,1,2025-01,Quik,Order cancelled by store,In-App Chat,UAE,Escalated,16.4,3,0,0
CRM-002134,2025-01-03 10:53:40,2025-01-03,1,2025-01,Food,Overcharged,In-App Chat,KSA,Resolved - Explanation,5.8,5,1,0
CRM-004082,2025-01-03 11:13:29,2025-01-03,1,2025-01,Ride,Route deviation,Phone,Pakistan,Resolved - Coupon,11.4,3,1,0
CRM-003330,2025-01-03 11:20:43,2025-01-03,1,2025-01,Quik,Expired product delivered,Phone,Pakistan,Auto-resolved,1.0,4,1,0
CRM-001561,2025-01-03 11:52:00,2025-01-03,1,2025-01,Ride,Safety concern,In-App Chat,KSA,Resolved - Coupon,3.0,5,1,0
CRM-002274,2025-01-03 12:19:08,2025-01-03,1,2025-01,Ride,Cancellation fee dispute,In-App Chat,KSA,Auto-resolved,1.2,3,1,0
CRM-003664,2025-01-03 13:21:12,2025-01-03,1,2025-01,Quik,Expired product delivered,Phone,UAE,Pending - Follow-up,10.1,5,0,0
CRM-002492,2025-01-03 13:23:30,2025-01-03,1,2025-01,Ride,Wrong fare charged,Social Media,Jordan,Resolved - Explanation,17.6,5,1,0
CRM-000672,2025-01-03 13:42:45,2025-01-03,1,2025-01,Quik,Expired product delivered,In-App Chat,UAE,Escalated,10.4,1,0,0
CRM-000696,2025-01-03 13:48:17,2025-01-03,1,2025-01,Ride,Driver no-show,Phone,Jordan,Auto-resolved,0.4,5,1,0
CRM-004894,2025-01-03 13:49:18,2025-01-03,1,2025-01,Quik,Wrong address delivery,Social Media,Jordan,Auto-resolved,1.5,4,1,0
CRM-001264,2025-01-03 14:05:44,2025-01-03,1,2025-01,Quik,Order cancelled by store,Phone,UAE,Resolved - Refund,6.9,5,1,0
CRM-000934,2025-01-03 15:02:41,2025-01-03,1,2025-01,Ride,Cancellation fee dispute,Phone,UAE,Resolved - Refund,7.3,3,1,0
CRM-002284,2025-01-03 16:21:32,2025-01-03,1,2025-01,Food,Wrong items delivered,Email,KSA,Resolved - Refund,11.4,4,1,0
CRM-004766,2025-01-03 18:41:08,2025-01-03,1,2025-01,Ride,Lost item,In-App Chat,UAE,Escalated,6.8,4,0,0
CRM-004402,2025-01-03 19:19:57,2025-01-03,1,2025-01,Food,Missing items,Phone,Pakistan,Resolved - Refund,10.7,3,1,1
CRM-004872,2025-01-03 19:22:55,2025-01-03,1,2025-01,Ride,Driver no-show,In-App Chat,Pakistan,Escalated,6.1,2,0,0
CRM-000233,2025-01-03 19:49:57,2025-01-03,1,2025-01,Ride,Cancellation fee dispute,Phone,Jordan,Resolved - Refund,5.3,5,1,0
CRM-000240,2025-01-03 21:09:45,2025-01-03,1,2025-01,Pay,Failed top-up,Email,KSA,Resolved - Explanation,12.7,5,1,0
CRM-004263,2025-01-03 21:33:38,2025-01-03,1,2025-01,Food,Late delivery,In-App Chat,Pakistan,Resolved - Refund,6.6,3,1,0
CRM-003029,2025-01-04 04:43:14,2025-01-04,1,2025-01,Food,Cold food,Phone,UAE,Resolved - Explanation,8.0,4,1,0
CRM-004031,2025-01-04 05:38:50,2025-01-04,1,2025-01,Ride,Cancellation fee dispute,Social Media,KSA,Auto-resolved,0.3,4,1,0
CRM-004788,2025-01-04 06:14:19,2025-01-04,1,2025-01,Ride,App crash during ride,In-App Chat,KSA,Resolved - Coupon,6.9,3,1,0
CRM-003748,2025-01-04 06:25:01,2025-01-04,1,2025-01,Quik,Late delivery,Social Media,KSA,Auto-resolved,0.3,4,1,0
CRM-001473,2025-01-04 06:34:19,2025-01-04,1,2025-01,Ride,Wrong fare charged,In-App Chat,KSA,Escalated,10.4,4,0,0
CRM-002751,2025-01-04 07:41:39,2025-01-04,1,2025-01,Ride,Cancellation fee dispute,Social Media,Pakistan,Resolved - Explanation,11.2,5,1,0
CRM-003995,2025-01-04 07:51:49,2025-01-04,1,2025-01,Quik,Order cancelled by store,Phone,KSA,Auto-resolved,0.5,2,1,1
CRM-000446,2025-01-04 09:04:19,2025-01-04,1,2025-01,Pay,Bill payment error,Phone,UAE,Resolved - Explanation,5.4,4,1,0
CRM-003025,2025-01-04 10:28:58,2025-01-04,1,2025-01,Ride,Wrong fare charged,Social Media,Pakistan,Pending - Follow-up,11.4,4,0,0
CRM-003383,2025-01-04 10:40:50,2025-01-04,1,2025-01,Ride,Driver no-show,In-App Chat,KSA,Resolved - Refund,3.3,4,1,0
CRM-001984,2025-01-04 11:09:28,2025-01-04,1,2025-01,Food,Order never arrived,In-App Chat,KSA,Resolved - Explanation,3.7,4,1,1
CRM-003497,2025-01-04 11:38:21,2025-01-04,1,2025-01,Food,Cold food,Phone,KSA,Escalated,16.4,4,0,0
CRM-004354,2025-01-04 11:53:11,2025-01-04,1,2025-01,Ride,Cancellation fee dispute,Phone,KSA,Resolved - Refund,5.8,3,1,0
CRM-000515,2025-01-04 12:10:51,2025-01-04,1,2025-01,Ride,Cancellation fee dispute,In-App Chat,KSA,Resolved - Refund,6.7,4,1,0
CRM-000916,2025-01-04 13:01:19,2025-01-04,1,2025-01,Quik,Damaged packaging,Phone,UAE,Escalated,16.6,3,0,0
CRM-003899,2025-01-04 13:25:54,2025-01-04,1,2025-01,Food,Missing items,In-App Chat,Pakistan,Auto-resolved,0.4,5,1,0
CRM-004917,2025-01-04 13:42:18,2025-01-04,1,2025-01,Quik,Substituted item not accepted,In-App Chat,Pakistan,Auto-resolved,0.8,4,1,1
CRM-004173,2025-01-04 13:54:03,2025-01-04,1,2025-01,Food,Missing items,Phone,Egypt,Pending - Follow-up,8.1,4,0,0
CRM-003461,2025-01-04 14:03:59,2025-01-04,1,2025-01,Food,Overcharged,In-App Chat,Pakistan,Resolved - Coupon,2.7,5,1,0
CRM-003715,2025-01-04 14:25:55,2025-01-04,1,2025-01,Food,Late delivery,In-App Chat,KSA,Resolved - Coupon,7.0,1,1,0
CRM-004587,2025-01-04 16:33:12,2025-01-04,1,2025-01,Food,Restaurant closed,Phone,KSA,Resolved - Explanation,7.9,3,1,0
CRM-002441,2025-01-04 16:42:55,2025-01-04,1,2025-01,Pay,Unauthorized transaction,Phone,Jordan,Resolved - Coupon,9.3,3,1,0
CRM-000881,2025-01-04 16:50:41,2025-01-04,1,2025-01,Ride,Lost item,In-App Chat,UAE,Resolved - Explanation,4.3,4,1,0
CRM-004469,2025-01-04 18:04:06,2025-01-04,1,2025-01,Pay,Unauthorized transaction,In-App Chat,Egypt,Resolved - Coupon,4.8,4,1,0
CRM-003000,2025-01-04 18:33:19,2025-01-04,1,2025-01,Food,Restaurant closed,In-App Chat,UAE,Resolved - Explanation,4.2,4,1,0
CRM-000676,2025-01-04 19:26:19,2025-01-04,1,2025-01,Food,Restaurant closed,In-App Chat,UAE,Resolved - Coupon,3.7,4,1,1
CRM-002319,2025-01-04 21:18:28,2025-01-04,1,2025-01,Food,Cold food,Email,UAE,Auto-resolved,1.0,4,1,0
CRM-001414,2025-01-04 21:49:20,2025-01-04,1,2025-01,Quik,Missing items,In-App Chat,Jordan,Resolved - Explanation,5.0,1,1,0
CRM-002503,2025-01-04 22:15:13,2025-01-04,1,2025-01,Food,Overcharged,In-App Chat,Pakistan,Resolved - Explanation,5.7,3,1,0
CRM-002380,2025-01-04 23:35:08,2025-01-04,1,2025-01,Food,Restaurant closed,In-App Chat,UAE,Resolved - Explanation,3.1,5,1,0
CRM-001079,2025-01-05 00:03:52,2025-01-05,1,2025-01,Food,Cold food,Email,KSA,Auto-resolved,1.4,4,1,1
CRM-002741,2025-01-05 01:09:54,2025-01-05,1,2025-01,Food,Overcharged,In-App Chat,Egypt,Resolved - Refund,6.2,2,1,0
CRM-003133,2025-01-05 02:47:24,2025-01-05,1,2025-01,Ride,Promo code not applied,Phone,Pakistan,Auto-resolved,0.3,3,1,0
CRM-001898,2025-01-05 03:54:21,2025-01-05,1,2025-01,Quik,Late delivery,In-App Chat,UAE,Resolved - Refund,2.9,4,1,0
CRM-003601,2025-01-05 06:10:56,2025-01-05,1,2025-01,Food,Late delivery,In-App Chat,UAE,Resolved - Explanation,5.4,4,1,1
CRM-002599,2025-01-05 07:09:58,2025-01-05,1,2025-01,Food,Missing items,In-App Chat,UAE,Auto-resolved,1.1,4,1,1
CRM-000674,2025-01-05 08:10:02,2025-01-05,1,2025-01,Food,Order never arrived,In-App Chat,UAE,Resolved - Refund,6.6,5,1,0
CRM-000345,2025-01-05 08:53:26,2025-01-05,1,2025-01,Pay,Cashback not credited,Phone,UAE,Auto-resolved,0.7,5,1,0
